id;naam_nl;naam_fr;naam_officieel;land;lastensoort;regeling;belastingtype;socialelastentype;vrijstellingstype;transactionele_basis;variabiliteitsklasse;effect;waarde;eenheid;geldig_jaar;geldig_van;geldig_tot;status;bron_url;bron_kenmerk;bronsoort;instantie;verificatiedatum;verificatie_door;aanpassingsfrequentie;ingevoerd;vervallen;gebruikt_in;afwijkend;kandidaat
p.fr.ir.abattement_micro_diensten;Abattement micro op winst uit diensten;Abattement micro, prestations de services;Abattement forfaitaire micro-BIC ou micro-BNC;FR;fiscaal;fr.ir;inkomstenbelasting;;abattement;inkomen;overheid_vastgesteld;verlaagt_last;;fractie;2026;;;te_verifieren;;;;;;;onregelmatig;;;financieel-kompas-ai;nee;nee
p.fr.ir.abattement_micro_verhuur;Abattement micro op winst uit verhuur;Abattement micro, location meublee;;FR;fiscaal;fr.ir;inkomstenbelasting;;abattement;inkomen;overheid_vastgesteld;verlaagt_last;;fractie;2026;;;te_verifieren;;;;;;;onregelmatig;;;financieel-kompas-ai;nee;nee
p.fr.ir.abattement_pensioen;Abattement op pensioen: tarief, minimum en maximum;Abattement de 10 pour cent sur les pensions;Abattement de 10 pour cent, art. 158-5 CGI;FR;fiscaal;fr.ir;inkomstenbelasting;;abattement;inkomen;overheid_vastgesteld;verlaagt_last;10 procent, minimaal 454 euro per persoon en maximaal 4.439 euro per huishouden;fractie en EUR;2026;;;vastgesteld;https://www.service-public.fr/particuliers/vosdroits/F415;service-public.fr, fiche F415, Impot sur le revenu: declarer les pensions de retraite;secundair: samenvattende fiche van service-public.fr, art. 158-5 CGI niet zelf gelezen;DGFiP;2026-04-15;financieel-kompas-ai, config.json;jaarlijks;;;financieel-kompas-ai;nee;nee
p.fr.ir.boete_niet_aangifte_buitenlandse_rekening;Boete niet-aangifte buitenlandse rekening;Amende pour compte etranger non declare;Amende, art. 1736 IV CGI, formulaire 3916;FR;fiscaal;fr.ir;inkomstenbelasting;;;inkomen;overheid_vastgesteld;verhoogt_last;;EUR/jaar;2026;;;te_verifieren;;;;;;;zelden;;;cafeclaude;nee;nee
p.fr.ir.contribution_haut_revenus;Contribution exceptionnelle sur les hauts revenus;Contribution exceptionnelle sur les hauts revenus;CEHR, art. 223 sexies CGI;FR;fiscaal;fr.ir;inkomstenbelasting;;;inkomen;overheid_vastgesteld;verhoogt_last;;EUR en procent;2026;;;te_verifieren;https://www.impots.gouv.fr;"impots.gouv.fr, contribution exceptionnelle sur les hauts revenus; art. 223 sexies CGI";nog niet geraadpleegd;DGFiP;;;jaarlijks;;;;nee;ja
p.fr.ir.credit_hulp_aan_huis_percentage;Credit d impot hulp aan huis, percentage;Credit d impot services a la personne, taux;Credit d impot, art. 199 sexdecies CGI;FR;fiscaal;fr.ir;inkomstenbelasting;;belastingkrediet;inkomen;overheid_vastgesteld;verlaagt_last;;fractie;2026;;;te_verifieren;;;;;;;zelden;;;financieel-kompas-ai | ouderenzorg-fr;nee;nee
p.fr.ir.credit_hulp_aan_huis_plafond;Credit d impot hulp aan huis, plafond;Credit d impot services a la personne, plafond;Plafond de depenses, art. 199 sexdecies CGI;FR;fiscaal;fr.ir;inkomstenbelasting;;plafond;inkomen;overheid_vastgesteld;verlaagt_last;;EUR/jaar;2026;;;te_verifieren;;;;;;;zelden;;;financieel-kompas-ai | ouderenzorg-fr;ja;nee
p.fr.ir.decote;Decote: drempels, forfaits en percentage;Decote de l impot sur le revenu;Decote, art. 197 I-4 CGI;FR;fiscaal;fr.ir;inkomstenbelasting;;heffingskorting;inkomen;overheid_vastgesteld;verlaagt_last;;EUR en fractie;2026;;;te_verifieren;;"economie.gouv.fr, Pouvez-vous beneficier de la decote de l impot sur le revenu (inkomsten 2025, aanslag 2026); wettelijke grondslag art. 197 CGI";secundair: voorlichtingspagina van economie.gouv.fr, art. 197 CGI niet zelf gelezen;DGFiP;;;jaarlijks;;;financieel-kompas-ai | cafeclaude;nee;nee
p.fr.ir.pfu_tarief;PFU, inkomstenbelastingdeel;Prelevement forfaitaire unique, part impot sur le revenu;Prelevement forfaitaire unique, art. 200 A CGI;FR;fiscaal;fr.ir;inkomstenbelasting;;;inkomen;overheid_vastgesteld;verhoogt_last;;fractie;2026;;;te_verifieren;;;;;;;zelden;2018-01-01;;financieel-kompas-ai | cafeclaude;nee;nee
p.fr.ir.quotient_plafond_per_halve_part;Plafond gezinsquotient per halve part;Plafonnement du quotient familial par demi-part;Plafonnement des effets du quotient familial;FR;fiscaal;fr.ir;inkomstenbelasting;;plafond;inkomen;overheid_vastgesteld;verhoogt_last;;EUR;2026;;;te_verifieren;;;;;;;jaarlijks;;;financieel-kompas-ai;nee;nee
p.fr.ir.schijven;Schijven en tarieven impot sur le revenu;Bareme de l impot sur le revenu;Bareme progressif, art. 197 CGI;FR;fiscaal;fr.ir;inkomstenbelasting;;;inkomen;overheid_vastgesteld;verhoogt_last;;EUR en fractie;2026;;;te_verifieren;;;;;;;jaarlijks;;;financieel-kompas-ai | cafeclaude;nee;nee
p.fr.ir.seuil_declaration;Aangiftedrempel impot sur le revenu;Seuil de declaration de revenus;;FR;fiscaal;fr.ir;inkomstenbelasting;;drempel;inkomen;overheid_vastgesteld;bepaalt_toepasselijkheid;;EUR;2026;;;te_verifieren;https://www.impots.gouv.fr;impots.gouv.fr, obligation de declarer;nog niet geraadpleegd;DGFiP;;;jaarlijks;;;;nee;ja
p.fr.ir.taux_minimum_non_residents;Minimumtarief voor niet-residenten;Taux minimum d imposition des non-residents;Art. 197 A CGI;FR;fiscaal;fr.ir;inkomstenbelasting;;;inkomen;overheid_vastgesteld;verhoogt_last;;procent en EUR;2026;;;te_verifieren;https://www.impots.gouv.fr/particulier/non-resident;"impots.gouv.fr, non-residents; art. 197 A CGI";nog niet geraadpleegd;DGFiP;;;jaarlijks;;;;nee;ja
p.fr.lmp.drempel;LMP-drempel;Seuil du statut de loueur en meuble professionnel;Art. 155 IV CGI;FR;sociaal;fr.lmp;;zelfstandigenbijdrage;drempel;omzet;overheid_vastgesteld;bepaalt_toepasselijkheid;;EUR;2026;;;te_verifieren;;;;;;;zelden;;;cafeclaude;nee;nee
p.fr.markt.dvf_transactieprijzen;DVF, werkelijke transactieprijzen onroerend goed;DVF, demandes de valeurs foncieres;Demandes de valeurs foncieres, DGFiP, open data;FR;overig_transactiekosten;fr.markt;;;;koopsom;marktindex;bepaalt_grondslag;;EUR en EUR/m2;2026;;;te_verifieren;https://www.data.gouv.fr/fr/datasets/demandes-de-valeurs-foncieres/;Demandes de valeurs foncieres (DVF), open data van de DGFiP op data.gouv.fr;primair;DGFiP, via data.gouv.fr;;;halfjaarlijks;;;Vastgoedtransactie | woningzoeker-frankrijk | if-tools-api;nee;nee
p.fr.micro.abattement_per_categorie;Abattement micro per categorie;Abattement micro par categorie;Abattement forfaitaire, art. 50-0 en 102 ter CGI;FR;fiscaal;fr.micro;inkomstenbelasting;;abattement;omzet;overheid_vastgesteld;verlaagt_last;;procent;2026;;;te_verifieren;;;;;;;onregelmatig;;;cafeclaude;nee;nee
p.fr.micro.bic_verhuur;Micro-BIC verhuur: plafond en abattement per type;Micro-BIC location: plafond et abattement par type;Art. 50-0 CGI, meubles de tourisme et chambres d hotes;FR;fiscaal;fr.micro;inkomstenbelasting;;abattement;omzet;overheid_vastgesteld;verlaagt_last;;EUR en procent;2026;;;te_verifieren;;;;;;;onregelmatig;;;cafeclaude | gitekompas-fr;nee;nee
p.fr.micro.plafonds;Omzetplafonds micro-entreprise per categorie;Plafonds de chiffre d affaires du regime micro;Seuils du regime micro, art. 50-0 CGI;FR;fiscaal;fr.micro;inkomstenbelasting;;plafond;omzet;overheid_vastgesteld;bepaalt_toepasselijkheid;;EUR;2026;;;te_verifieren;;;;;;;meerjaarlijks;;;cafeclaude;nee;nee
p.fr.mutuelle.premie_indicatie;Premie-indicatie complementaire sante;Prix indicatif d une mutuelle;;FR;verzekering_overheidsgekaderd;fr.mutuelle;;;;polis;indicatief;verhoogt_last;;EUR/maand;2026;;;te_verifieren;https://www.service-public.fr;marktoverzicht, bron nog te kiezen;nog niet geraadpleegd;geen enkele instantie, marktgegeven;;;jaarlijks;;;;nee;ja
p.fr.notaris.debours_forfait;Debours, forfaitaire schatting;Debours, estimation forfaitaire;;FR;overig_transactiekosten;fr.notaris;;;;akte;indicatief;verhoogt_last;;EUR;2026;;;te_verifieren;;;;;;;onbekend;;;Vastgoedtransactie;nee;nee
p.fr.notaris.emolumenten_schaal;Emolumenten notaris, trancheschaal;Emoluments du notaire, bareme par tranche;Tableau 5 numero 17, art. A444-91 Code de commerce;FR;overig_transactiekosten;fr.notaris;;;;akte;overheid_vastgesteld;verhoogt_last;"tot 6.500 euro 3,870 procent; tot 17.000 euro 1,596 procent; tot 60.000 euro 1,064 procent; daarboven 0,799 procent";EUR en procent;2026;2026-03-01;2028-02-29;vastgesteld;https://www.economie.gouv.fr/particuliers/gerer-mon-argent/investir-dans-limmobilier/achat-dun-bien-immobilier-quels-frais-de-notaire-devez-vous-payer;art. A444-91 Code de commerce, tabel 5 nr. 17, tarieven verlengd bij arrete van 25 februari 2026;secundair: voorlichtingspagina van economie.gouv.fr, het arrete zelf niet gelezen;Ministere de l economie en Conseil superieur du notariat;2026-08-12;Vastgoedtransactie, bronnen.json;meerjaarlijks;;;Vastgoedtransactie;nee;nee
p.fr.notaris.remise_drempel_en_maximum;Wettelijke korting op de emolumenten;Remise sur les emoluments du notaire;Remise, art. A444-174 Code de commerce;FR;overig_transactiekosten;fr.notaris;;;drempel;akte;overheid_vastgesteld;verlaagt_last;maximaal 20 procent over het deel van de grondslag vanaf 100.000 euro;EUR en procent;2026;;;vastgesteld;https://www.economie.gouv.fr/particuliers/gerer-mon-argent/investir-dans-limmobilier/achat-dun-bien-immobilier-quels-frais-de-notaire-devez-vous-payer;wettelijke korting op de emolumenten, maximaal 20 procent vanaf 100.000 euro;secundair: voorlichtingspagina van economie.gouv.fr, het wetsartikel niet zelf gelezen;Ministere de l economie;2026-08-12;Vastgoedtransactie, bronnen.json;meerjaarlijks;;;Vastgoedtransactie;nee;nee
p.fr.notaris.tarief_hypotheekakte;Emolumenten en heffingen bij een hypotheekakte;Frais d acte de pret et taxe de publicite fonciere;;FR;overig_transactiekosten;fr.notaris;;;;akte;overheid_vastgesteld;verhoogt_last;;procent en EUR;2026;;;te_verifieren;https://www.economie.gouv.fr/particuliers/gerer-mon-argent/investir-dans-limmobilier/achat-dun-bien-immobilier-quels-frais-de-notaire-devez-vous-payer;tabel 5 Code de commerce en art. 844 CGI;nog niet geraadpleegd;Ministere de l economie;;;meerjaarlijks;;;;nee;ja
p.fr.notaris.vuistregel_kosten_ancien;Vuistregel notariskosten bestaande bouw;Regle empirique des frais de notaire, ancien;;FR;overig_transactiekosten;fr.notaris;;;;akte;indicatief;verhoogt_last;;procent;2026;;;te_verifieren;;;;;;;onbekend;;;cafeclaude | if-tools-api | woningzoeker-frankrijk;ja;nee
p.fr.ps.opbouw;Opbouw van de prelevements sociaux;Composition des prelevements sociaux;;FR;sociaal;fr.ps;;prelevement_social;;vermogen;overheid_vastgesteld;informatief;;fractie;2026;;;te_verifieren;;;;;;;zelden;;;cafeclaude;nee;nee
p.fr.ps.taux_global;Prelevements sociaux op vermogen, totaaltarief;Prelevements sociaux sur les revenus du patrimoine;Prelevements sociaux, taux global;FR;sociaal;fr.ps;;prelevement_social;;vermogen;overheid_vastgesteld;verhoogt_last;17,2 procent;fractie;2026;;;vastgesteld;https://www.impots.gouv.fr/particulier/questions/je-vends-mon-bien-immobilier-vais-je-payer-de-la-plus-value-immobiliere;"impots.gouv.fr, plus-value immobiliere, bijgewerkt 7 juli 2026; opbouw CSG 9,2 plus CRDS 0,5 plus prelevement de solidarite 7,5";primair;DGFiP;2026-08-12;Vastgoedtransactie, bronnen.json;zelden;2012-07-01;;financieel-kompas-ai | Vastgoedtransactie | Plus-Value-Calculator | cafeclaude;nee;nee
p.fr.ps.taux_roerend;Prelevements sociaux op roerend inkomen in de tool;Prelevements sociaux sur les revenus mobiliers;;FR;sociaal;fr.ps;;prelevement_social;;vermogen;overheid_vastgesteld;verhoogt_last;;fractie;2026;;;te_verifieren;;;;;;;zelden;;;financieel-kompas-ai;nee;nee
p.fr.pv.abattement_ir_per_jaar;Aftrek inkomstenbelasting per bezitsjaar;Abattement pour duree de detention, impot sur le revenu;Art. 150 VC CGI;FR;fiscaal;fr.pv;meerwaardeheffing;;degressieve_aftrek;meerwaarde;overheid_vastgesteld;verlaagt_last;6 procent per jaar vanaf jaar 6, 4 procent in jaar 22, volledig vrijgesteld na 22 jaar;procent per jaar;2026;;;vastgesteld;https://www.impots.gouv.fr/particulier/questions/je-vends-mon-bien-immobilier-vais-je-payer-de-la-plus-value-immobiliere;"art. 150 VC CGI; impots.gouv.fr, bijgewerkt 7 juli 2026";primair;DGFiP;2026-08-12;Vastgoedtransactie, bronnen.json;zelden;;;Vastgoedtransactie | Plus-Value-Calculator;nee;nee
p.fr.pv.abattement_ps_per_jaar;Aftrek prelevements sociaux per bezitsjaar;Abattement pour duree de detention, prelevements sociaux;Art. 150 VC CGI;FR;fiscaal;fr.pv;meerwaardeheffing;;degressieve_aftrek;meerwaarde;overheid_vastgesteld;verlaagt_last;1,65 procent per jaar vanaf jaar 6, 1,60 procent in jaar 22, 9 procent in de jaren 23 tot en met 30, volledig vrijgesteld na 30 jaar;procent per jaar;2026;;;vastgesteld;https://www.impots.gouv.fr/particulier/questions/je-vends-mon-bien-immobilier-vais-je-payer-de-la-plus-value-immobiliere;"art. 150 VC CGI; impots.gouv.fr, bijgewerkt 7 juli 2026";primair;DGFiP;2026-08-12;Vastgoedtransactie, bronnen.json;zelden;;;Vastgoedtransactie | Plus-Value-Calculator;nee;nee
p.fr.pv.exoneration_residence_principale;Vrijstelling meerwaarde hoofdverblijf;Exoneration de la residence principale;Art. 150 U II 1 CGI;FR;fiscaal;fr.pv;meerwaardeheffing;;vrijstelling;meerwaarde;overheid_vastgesteld;verlaagt_last;;tekst;2026;;;te_verifieren;https://www.impots.gouv.fr/particulier/questions/je-vends-mon-bien-immobilier-vais-je-payer-de-la-plus-value-immobiliere;"art. 150 U II 1 CGI; impots.gouv.fr";nog niet geraadpleegd;DGFiP;;;zelden;;;;nee;ja
p.fr.pv.forfait_aankoopkosten;Forfait aankoopkosten bij de meerwaarde;Forfait des frais d acquisition;Art. 150 VB II-3 CGI;FR;fiscaal;fr.pv;meerwaardeheffing;;abattement;meerwaarde;overheid_vastgesteld;verlaagt_last;7,5 procent van de aankoopprijs;procent;2026;;;vastgesteld;https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000051202577;art. 150 VB II-3 CGI, versie in werking sinds 21 februari 2026;primair;DGFiP;2026-08-12;Vastgoedtransactie, bronnen.json;zelden;;;Vastgoedtransactie | Plus-Value-Calculator;nee;nee
p.fr.pv.forfait_werkzaamheden;Forfait verbouwing bij de meerwaarde;Forfait des travaux;Art. 150 VB II-4 CGI;FR;fiscaal;fr.pv;meerwaardeheffing;;abattement;meerwaarde;overheid_vastgesteld;verlaagt_last;15 procent van de aankoopprijs;procent;2026;;;vastgesteld;https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000051202577;art. 150 VB II-4 CGI, versie in werking sinds 21 februari 2026;primair;DGFiP;2026-08-12;Vastgoedtransactie, bronnen.json;zelden;;;Vastgoedtransactie | Plus-Value-Calculator;nee;nee
p.fr.pv.surtaxe_barema;Surtaxe op hoge meerwaarden;Taxe sur les plus-values immobilieres elevees;Art. 1609 nonies G CGI;FR;fiscaal;fr.pv;meerwaardeheffing;;;meerwaarde;overheid_vastgesteld;verhoogt_last;vanaf 50.000 euro belastbare meerwaarde, 2 tot 6 procent met afvlakking per tranche;EUR en procent;2026;2024-01-01;;vastgesteld;https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000048806252;art. 1609 nonies G CGI, versie in werking sinds 1 januari 2024;primair;DGFiP;2026-08-12;Vastgoedtransactie, bronnen.json;zelden;2013-01-01;;Vastgoedtransactie | Plus-Value-Calculator;ja;nee
p.fr.pv.tarief_ir;Tarief inkomstenbelasting op de meerwaarde;Taux d impot sur le revenu sur la plus-value;Art. 200 B CGI;FR;fiscaal;fr.pv;meerwaardeheffing;;;meerwaarde;overheid_vastgesteld;verhoogt_last;19 procent;procent;2026;;;vastgesteld;https://www.impots.gouv.fr/particulier/questions/je-vends-mon-bien-immobilier-vais-je-payer-de-la-plus-value-immobiliere;"art. 200 B CGI; impots.gouv.fr, bijgewerkt 7 juli 2026";primair;DGFiP;2026-08-12;Vastgoedtransactie, bronnen.json;zelden;;;Vastgoedtransactie | Plus-Value-Calculator | cafeclaude;nee;nee
p.fr.pv.terugname_afschrijvingen_vanaf;Terugname afgetrokken afschrijvingen bij gemeubileerde verhuur;Reintegration des amortissements en location meublee;Art. 150 VB III CGI;FR;fiscaal;fr.pv;meerwaardeheffing;;;meerwaarde;overheid_vastgesteld;verhoogt_last;geldt voor verkopen vanaf 15 februari 2025;datum;2026;2025-02-15;;vastgesteld;https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000051202577;art. 150 VB III CGI, ingevoerd bij art. 84 van wet 2025-127, gewijzigd bij art. 47 van wet 2026-103 van 19 februari 2026;primair;DGFiP;2026-08-12;Vastgoedtransactie, bronnen.json;onregelmatig;2025-02-15;;Vastgoedtransactie;nee;nee
p.fr.pv.vrijstelling_eu_eer;Vrijstelling meerwaarde voor onderdanen van de EU of EER;Exoneration pour les ressortissants UE ou EEE;Art. 150 U II 2 CGI;FR;fiscaal;fr.pv;meerwaardeheffing;;vrijstelling;meerwaarde;overheid_vastgesteld;verlaagt_last;150.000 euro netto belastbare meerwaarde;EUR;2026;;;vastgesteld;;"art. 150 U II 2 CGI en art. 244 bis A CGI; BOFiP, BOI-RFPI-PVINR-10-20";primair;DGFiP;2026-08-12;Vastgoedtransactie, bronnen.json;zelden;;;Vastgoedtransactie;nee;nee
p.fr.renov.besparing_per_graad;Besparing per graad lagere binnentemperatuur;Economie par degre de moins;;FR;fiscaal;fr.renov;;;;verrichting;indicatief;informatief;;procent;2026;;;te_verifieren;;;;;;;zelden;;;nlfr-ai-agent;nee;nee
p.fr.renov.ecoptz_maximum;Eco-PTZ, maximum leenbedrag;Eco-pret a taux zero, montant maximal;;FR;fiscaal;fr.renov;;;plafond;verrichting;overheid_vastgesteld;verlaagt_last;;EUR;2026;;;te_verifieren;;;;;;;meerjaarlijks;;;nlfr-ai-agent;nee;nee
p.fr.renov.maprimeadapt_maximum;MaPrimeAdapt, maximaal aandeel van de kosten;MaPrimeAdapt, part maximale des couts;;FR;fiscaal;fr.renov;;;plafond;verrichting;overheid_vastgesteld;verlaagt_last;;procent;2026;;;te_verifieren;;;;;;;jaarlijks;;;ouderenzorg-fr;nee;nee
p.fr.renov.maprimerenov_budget;MaPrimeRenov, budget en achterstand;MaPrimeRenov, budget et arrieres;;FR;fiscaal;fr.renov;;;;verrichting;indicatief;informatief;;EUR en aantal;2026;;;te_verifieren;;;;;;;jaarlijks;;;nlfr-ai-agent;nee;nee
p.fr.renov.maprimerenov_plafond;MaPrimeRenov, plafondbedrag in de pagina;MaPrimeRenov, plafond;;FR;fiscaal;fr.renov;;;plafond;verrichting;overheid_vastgesteld;verlaagt_last;;EUR;2026;;;te_verifieren;;;;;;;jaarlijks;;;energiebesparing-subsidie-en-fiscale-regelingen;nee;nee
p.fr.renov.ouderdomsgrens_woning;Ouderdomsgrens van de woning voor verlaagd tarief en Eco-PTZ;Anciennete du logement requise;;FR;fiscaal;fr.renov;;;drempel;verrichting;overheid_vastgesteld;bepaalt_toepasselijkheid;;jaren;2026;;;te_verifieren;;;;;;;zelden;;;energiebesparing-subsidie-en-fiscale-regelingen;nee;nee
p.fr.renov.richtprijzen_maatregelen;Richtprijzen renovatiemaatregelen;Prix indicatifs des travaux de renovation;;FR;fiscaal;fr.renov;;;;verrichting;indicatief;bepaalt_grondslag;;EUR;2026;;;te_verifieren;;;;;;;onregelmatig;;;nlfr-ai-agent;nee;nee
p.fr.retraite.gemiddeld_salaris_referentie;Referentiesalaris voor de pensioenraming;Salaire moyen de reference pour l estimation;;FR;sociaal;fr.retraite;;premie_werknemersverzekering;;inkomen;indicatief;bepaalt_grondslag;;EUR/jaar;2026;;;te_verifieren;;;;;;;onbekend;;;financieel-kompas-ai;nee;nee
p.fr.retraite.jaren_vereist;Vereiste pensioenjaren Frankrijk;Duree d assurance requise;Duree d assurance pour le taux plein;FR;sociaal;fr.retraite;;premie_werknemersverzekering;;inkomen;overheid_vastgesteld;bepaalt_toepasselijkheid;;jaren;2026;;;te_verifieren;;;;;;;meerjaarlijks;;;financieel-kompas-ai;nee;nee
p.fr.retraite.opbouwpercentage;Pensioenopbouwpercentage Frankrijk;Taux de liquidation de la retraite de base;Taux plein;FR;sociaal;fr.retraite;;premie_werknemersverzekering;;inkomen;overheid_vastgesteld;bepaalt_grondslag;;fractie;2026;;;te_verifieren;;;;;;;zelden;;;financieel-kompas-ai;nee;nee
p.fr.secu.brss_consult_medecin_traitant;Base de remboursement consult huisarts;Base de remboursement, consultation du medecin traitant;Tarif conventionnel secteur 1;FR;verzekering_overheidsgekaderd;fr.secu;;;;verrichting;overheid_vastgesteld;bepaalt_grondslag;;EUR;2026;;;te_verifieren;;;;;;;onregelmatig;;;zorgkompas-frankrijk | cafeclaude;ja;nee
p.fr.secu.brss_kine_per_sessie;Base de remboursement kinesitherapie per sessie;Base de remboursement, seance de kinesitherapie;;FR;verzekering_overheidsgekaderd;fr.secu;;;;verrichting;overheid_vastgesteld;bepaalt_grondslag;;EUR;2025;;;te_verifieren;;;;;;;onregelmatig;;;zorgkompas-frankrijk;nee;nee
p.fr.secu.brss_specialist_apc;Base de remboursement specialist, APC;Base de remboursement, avis ponctuel de consultant;Tarif APC;FR;verzekering_overheidsgekaderd;fr.secu;;;;verrichting;overheid_vastgesteld;bepaalt_grondslag;;EUR;2025;;;te_verifieren;;;;;;;onregelmatig;;;zorgkompas-frankrijk;nee;nee
p.fr.secu.forfait_journalier;Forfait journalier hospitalier;Forfait journalier hospitalier;Art. L174-4 CSS;FR;verzekering_overheidsgekaderd;fr.secu;;;;verrichting;overheid_vastgesteld;verhoogt_last;;EUR/dag;2026;;;te_verifieren;;;;;;;onregelmatig;;;zorgkompas-frankrijk | cafeclaude;ja;nee
p.fr.secu.franchise_medicale;Franchise medicale per medicijn;Franchise medicale par boite de medicaments;Art. L160-13 III CSS;FR;verzekering_overheidsgekaderd;fr.secu;;;;verrichting;overheid_vastgesteld;verhoogt_last;;EUR;2026;;;te_verifieren;;;;;;;onregelmatig;;;cafeclaude | cafeclaude;ja;nee
p.fr.secu.franchise_transport;Franchise medisch transport;Franchise sur le transport sanitaire;Art. L160-13 III CSS;FR;verzekering_overheidsgekaderd;fr.secu;;;;verrichting;overheid_vastgesteld;verhoogt_last;;EUR;2026;;;te_verifieren;;;;;;;onregelmatig;;;cafeclaude;nee;nee
p.fr.secu.participation_forfaitaire;Participation forfaitaire per consult;Participation forfaitaire;Art. L160-13 II CSS;FR;verzekering_overheidsgekaderd;fr.secu;;;;verrichting;overheid_vastgesteld;verhoogt_last;;EUR;2026;;;te_verifieren;;;;;;;onregelmatig;;;cafeclaude | cafeclaude;nee;nee
p.fr.secu.vergoeding_had_en_infirmiere;Vergoeding thuisziekenhuis en verpleging aan huis;Taux de remboursement, HAD et infirmiere liberale;;FR;verzekering_overheidsgekaderd;fr.secu;;;;verrichting;overheid_vastgesteld;verlaagt_last;;procent;2026;;;te_verifieren;;;;;;;onregelmatig;;;cafeclaude;nee;nee
p.fr.secu.vergoeding_kine_en_medicatie;Vergoeding kinesitherapie en medicatie;Taux de remboursement, kinesitherapie et medicaments;;FR;verzekering_overheidsgekaderd;fr.secu;;;;verrichting;overheid_vastgesteld;verlaagt_last;;fractie;2026;;;te_verifieren;;;;;;;onregelmatig;;;zorgkompas-frankrijk;nee;nee
p.fr.secu.vergoeding_zonder_medecin_traitant;Vergoeding buiten het parcours de soins;Taux de remboursement hors parcours de soins;;FR;verzekering_overheidsgekaderd;fr.secu;;;;verrichting;overheid_vastgesteld;verhoogt_last;;fractie;2026;;;te_verifieren;;;;;;;zelden;;;zorgkompas-frankrijk | cafeclaude;nee;nee
p.fr.secu.vergoedingspercentage_standaard;Standaard vergoedingspercentage Securite sociale;Taux de remboursement de droit commun;;FR;verzekering_overheidsgekaderd;fr.secu;;;;verrichting;overheid_vastgesteld;verlaagt_last;;fractie;2026;;;te_verifieren;;;;;;;zelden;;;zorgkompas-frankrijk;nee;nee
p.fr.sociaal.lasten_pensioen;Sociale lasten op Frans pensioen, totaal;Charges sociales sur pension, total;;FR;sociaal;fr.sociaal;;csg_crds_casa;;inkomen;overheid_vastgesteld;verhoogt_last;;fractie;2026;;;te_verifieren;;;;;;;jaarlijks;;;financieel-kompas-ai;nee;nee
p.fr.sociaal.lasten_salaris;Sociale lasten op salaris in Frankrijk;Charges sociales sur salaire;;FR;sociaal;fr.sociaal;;premie_werknemersverzekering;;inkomen;overheid_vastgesteld;verhoogt_last;;fractie;2026;;;te_verifieren;;;;;;;jaarlijks;;;financieel-kompas-ai;nee;nee
p.fr.sociaal.lasten_winst_diensten;Sociale lasten op winst uit diensten;Charges sociales sur prestations de services;Cotisations sociales micro-entrepreneur, prestations de services;FR;sociaal;fr.sociaal;;zelfstandigenbijdrage;;inkomen;overheid_vastgesteld;verhoogt_last;;fractie;2026;;;te_verifieren;;;;;;;onregelmatig;;;financieel-kompas-ai | cafeclaude;nee;nee
p.fr.sociaal.lasten_winst_verhuur;Sociale lasten op winst uit verhuur;Charges sociales sur revenus locatifs meubles;;FR;sociaal;fr.sociaal;;zelfstandigenbijdrage;;inkomen;overheid_vastgesteld;verhoogt_last;;fractie;2026;;;te_verifieren;;;;;;;onregelmatig;;;financieel-kompas-ai;nee;nee
p.fr.sociaal.pass;Plafond annuel de la securite sociale;Plafond annuel de la securite sociale;PASS;FR;sociaal;fr.sociaal;;zelfstandigenbijdrage;;inkomen;overheid_vastgesteld;bepaalt_grondslag;;EUR/jaar;2026;;;te_verifieren;https://www.urssaf.fr;Urssaf, plafond de la securite sociale;nog niet geraadpleegd;Urssaf;;;jaarlijks;;;;nee;ja
p.fr.sociaal.smic;SMIC, wettelijk minimumloon;SMIC horaire et mensuel;Salaire minimum interprofessionnel de croissance;FR;sociaal;fr.sociaal;;zelfstandigenbijdrage;;inkomen;overheid_vastgesteld;bepaalt_grondslag;;EUR;2026;;;te_verifieren;https://www.service-public.fr/particuliers/vosdroits/F2300;service-public.fr, fiche F2300;nog niet geraadpleegd;Ministere du travail;;;jaarlijks;;;;nee;ja
p.fr.succ.abattement_broers_zussen;Vrijstelling en tarief broers en zussen;Abattement et taux, freres et soeurs;Art. 777 en 779 IV CGI;FR;fiscaal;fr.succ;erf_en_schenkbelasting;;abattement;nalatenschap;overheid_vastgesteld;verlaagt_last;;EUR en procent;2026;;;te_verifieren;;;;;;;zelden;;;cafeclaude;nee;nee
p.fr.succ.abattement_handicap;Extra vrijstelling bij handicap;Abattement supplementaire, personne handicapee;Art. 779 II CGI;FR;fiscaal;fr.succ;erf_en_schenkbelasting;;abattement;nalatenschap;overheid_vastgesteld;verlaagt_last;;EUR;2026;;;te_verifieren;https://www.service-public.fr/particuliers/vosdroits/F14198;"service-public.fr; art. 779 II CGI";nog niet geraadpleegd;DGFiP;;;zelden;;;;nee;ja
